,0
130,https://www.bibox365.com/static/pdf/Bibox_Whitepaper_en.pdf
131,https://casinocoin.org/doc/CasinoCoin_Presentation_en.pdf
132,https://lto.network/documents/LTO%20Network%20-%20Technical%20Paper.pdf
133,https://cindicator.com/Cindicator_WhitePaper.pdf
134,https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf
135,https://inocoin.eu/wp.pdf
136,https://vergecurrency.com/static/blackpaper/verge-blackpaper-v5.0.pdf
137,https://umaproject.org/UMA-whitepaper.pdf
138,https://downloads.skycoin.net/whitepapers/Skycoin-Whitepaper-v1.0.pdf
139,https://public.singularitynet.io/whitepaper.pdf
140,https://obyte.org/Byteball.pdf
141,https://public.singularitynet.io/whitepaper.pdf
142,https://www.metalpay.com/assets/pdf/whitepaper.pdf
143,https://cdn.invictuscapital.com/whitepapers/hyperion.pdf
144,https://gnosis.io/pdf/gnosis-whitepaper.pdf
145,http://www1.northbrook28.net/~dkostal/Site3/Student_Periodic_Table_files/Einsteinium.pdf
146,https://bitcoin.org/bitcoin.pdf
147,https://github.com/particl/whitepaper/blob/master/decentralized-private-marketplace-draft-0.1.pdf
148,https://www.apollocurrency.com/documents/WP_Apollo_2.2_En.pdf
149,https://www.btu-protocol.com/pdf/whitepaper.pdf
150,https://docbox.etsi.org/Workshop/2014/201410_CRYPTO/Quantum_Safe_Whitepaper_1_0_0.pdf
151,http://bf-token.bnktothefuture.com/pdf/whitepaper.pdf
152,https://robotinarox.io/wp-content/uploads/2018/07/Robotina_WP.pdf
153,https://trustbar.io/TRUSTBAR_WHITEPAPER.pdf
154,https://whitepaperdatabase.com/wp-content/uploads/2018/03/eBoost-EBST-Whitepaper.pdf
155,http://davinci.holdings/davinci/whitepaper/Davinci_whitepaper_ENG.pdf
156,https://s3-eu-west-1.amazonaws.com/utrust/UTRUST-whitepaper-v1.0.1.pdf
157,https://hpb.io/HPB_WhitePaper_en.pdf
158,https://www.nexusearth.com/downloads/nexus-peer-peer.pdf
159,https://www.ankr.com/pdf/AnkrWhitepaper.pdf
160,https://media.dascoin.com/2018/02/DasCoin-White-Paper.pdf
161,https://platin.io/assets/whitepaper/Platin_Whitepaper_v2.1.pdf
162,https://d1u6eqogwsdivn.cloudfront.net/whitepaper_v1/TTC_Whitepaper_EN.pdf
163,https://www.telco.in/docs/whitepaper.pdf
164,https://proximax.io/ProximaX-Whitepaper-v1.4.pdf
165,https://gemini.com/wp-content/themes/gemini/assets/img/dollar/gemini-dollar-whitepaper.pdf
166,https://charityblockchain.io/docs/One+One-Whitepaper.pdf
167,https://www.chainwhy.com/upload/default/20180705/49f3850f2702ec6be0f57780b22feab2.pdf
168,https://www.lition.io/docs/Lition_Whitepaper.pdf
169,https://daks2k3a4ib2z.cloudfront.net/59157962bdb4300afa8771a9/595c495244be4234f13093ce_EverexWP-Version-v0.31.pdf
170,https://umaproject.org/UMA-whitepaper.pdf
171,https://www.srdc.com.tr/projects/salus/docs/SALUSwhite_paper-Final.pdf
172,https://picoloresearch.com/upload/attachment/98636.pdf
173,https://www.bitcv.com/storage/pdf/whitePaper/iIxSe2hENaHHaZhVTNBFe2X3aQ3RsLer5gXzwl9A.pdf
174,https://bitcoin.org/bitcoin.pdf
175,https://pirate.black/files/whitepaper/The_Pirate_Code_V1.0.pdf
176,https://s3.amazonaws.com/cakecodes/pdf/storm_web/STORM_Token_White_Paper_Market_Research_Network_Development_vFINAL_.pdf
177,https://eponline.com/~/media/8EBD01AE7E1C4A73900943E370C7CF4E.pdf
178,https://dragonchain.com/dd6d7a464346349a6659b8c1075e6772.pdf
179,http://cajutel.gw/whitepaper.pdf
180,https://lightning.network/lightning-network-paper.pdf
181,https://bitcoin.org/bitcoin.pdf
182,https://s4fe.io/whitepaper.pdf
183,https://www.aergo.io/downloads/AERGO_Chain_Technical_Whitepaper_V1.0.pdf
184,https://ilcoincrypto.com/img/media/ILCOIN_WhitePaper_1010.pdf
185,https://officialdapscoin.com/wp-content/uploads/2019/05/whitepaper.pdf
186,https://goldbitscoin.com/pdf/Gold-Bits-Coin-White-Paper.pdf
187,http://www.ocnex.net/ODYSSEY_WHITEPAPER.pdf
188,https://humanscape.io/whitepaper/Humanscape_Whitepaper_EN.pdf
189,https://noahcoin.org/wp-content/uploads/2018/02/Feb_12_New_UpdateLegal_Disclaimer.pdf
190,https://nebl.io/wp-content/uploads/2017/07/NeblioWhitepaper.pdf
191,https://icorating.com/upload/whitepaper/9THnflpkgXKq6txy9mH8aSMwsxNwMmfvknttEqEx.pdf
192,https://request.network/assets/pdf/request_whitepaper.pdf
193,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
194,https://s3.amazonaws.com/streamr-public/streamr-datacoin-whitepaper-2017-07-25-v1_0.pdf
195,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
196,https://crushcrypto.com/wp-content/uploads/2017/10/QSP-Whitepaper.pdf
197,https://functionx.io/assets/file/Function_X_Concept_Paper_v2.0.pdf
198,https://fetch.ai/uploads/technical-introduction.pdf
199,https://hycon.io/wp-content/uploads/2018/08/whitepaper1.2.2_en.pdf
200,https://uploads-ssl.webflow.com/5b1cfaa93299683f6c2a5653/5b1cfaa9329968a6f72a57d0_5a8a97fc54ea7a000146ac08_Endor_Protocol_WP.pdf
201,https://ripiocredit.network/wp/RCN%20Whitepaper%20ENG.pdf
202,https://www.oneroot.io/static/pdf/whitepaperEN.pdf
203,https://www.veriblock.org/wp-content/uploads/2018/03/PoP-White-Paper.pdf
204,https://www.oax.org/assets/whitepaper/openANX_White_Paper_ENU.pdf
205,https://everus.org/Everus_Technologies_Whitepaper.pdf
206,https://resource.bnbstatic.com/books/20180224/1519460590137.pdf
207,https://icorating.com/upload/whitepaper/FKh0z0tmRdSSJ2iu4vW7kibB1Uil8IJETOlamid5.pdf
208,https://genesis.vision/white-paper-eng.pdf
209,https://cryptorating.eu/whitepapers/NavCoin/NAV-Coin-Whitepaper.pdf
210,https://cwv.io/whitepaper/CryptoWorld-EN.pdf
211,https://www.tapproject.net/material/tap-project-whitepaper-1-4.pdf
212,https://rsvoting.org/whitepaper/white_paper.pdf
213,https://scorm.com/wp-content/assets/LETSI-white-papers/LETSI%20White%20Papers%20-%20scorm2_CLAM_deibler_epstein.pdf
214,https://spectreproject.io/White_Paper.pdf
215,https://kinecosystem.org/static/files/Kin_Whitepaper_V1_English.pdf
216,https://bitcoin.org/bitcoin.pdf
217,https://umaproject.org/UMA-whitepaper.pdf
218,https://www.bitfinex.com/ethfinex-whitepaper.pdf
219,https://dentacoin.com/assets/uploads/whitepaper.pdf
220,https://www.playchip.global/wp-content/uploads/2018/08/PlayChip-Technical-Whitepaper.pdf
221,https://aion.network/media/en-aion-network-technical-introduction.pdf
222,https://www.chainwhy.com/upload/default/20180613/2c74effeb26229c109ee06bfed664c0d.pdf
223,https://phoenix.redpulse.com/wp-content/uploads/Phoenix_DevelopmentPlan.pdf
224,https://credits.com/Content/Docs/TechnicalWhitePaperCREDITSEng.pdf
225,https://www.matrix.io/html/MATRIXBusinessWhitePaper.pdf
226,https://tokensale.tierion.com/TierionTokenSaleWhitePaper.pdf
227,https://www.foam.space/publicAssets/FOAM_Whitepaper.pdf
228,https://wowx.io/wowx-whitepaper.pdf
229,https://www.blocknet.co/wp-content/uploads/2018/04/whitepaper.pdf
230,https://www.chainwhy.com/upload/default/20180809/a2101d2199a348a5fc24a80a82976d2f.pdf
231,https://cryptorating.eu/whitepapers/SIRIN-LABS/SIRINLABS_-_White_Paper.pdf
232,https://media.abnnewswire.net/media/en/docs/91949-Viacoin_whitepaper.pdf
233,https://litecoinca.sh/downloads/lcc_whitepaper.pdf
234,https://tokencard.io/tokencard_whitepaper.pdf
235,http://doc.medishares.org/whitepaper/MediShares.Whitepaper.EN.pdf
236,https://www.evry.com/globalassets/insight/bank2020/bank-2020---big-data---whitepaper.pdf
237,https://www.wagerr.com/wagerr_whitepaper_v1.pdf
238,https://cdn.bezant.io/bezant/Bezant_WP.pdf
239,https://cubeint.io/CUBEWhite_Paper-V1.3.pdf
240,https://spend.com/docs/WhitePaper.pdf
241,https://www.tokenpay.com/whitepaper.pdf
242,https://insolar.io/uploads/Insolar%20Tech%20Paper.pdf
243,https://icorating.com/upload/whitepaper/0ASTiqlnJv535Sz7M7HC0L1IOzCM3L6BUBOd8CnZ.pdf
244,https://smartmesh.io/SmartMeshWhitePaperEN.pdf
245,https://www.dxchain.com/static/assets/docs/DxChain-Whitepaper.pdf
246,https://www.metronome.io/pdf/owners_manual.pdf
247,https://crypto-picks.com/wp-content/uploads/2018/04/Crypto-Picks-ETHLend-Final-1.pdf
248,https://www.vitaetoken.io/VitaeWhitePaper.pdf
249,http://www.voipex.co.uk/uploads/documents/65_ViBE%20Technology%20White%20Paper.pdf
250,https://tokensale.propy.com/Propy-White-Paper-17-Jul-2017.pdf
251,https://www.thekey.vip/sites/default/files/pdf/THEKEY_Whitepaper_171112.pdf
252,https://www.adex.network/adex/AdEx-Whitepaper-v.7.pdf
253,https://dmarket.io/assets/documents/DMarket_white_paper_EN.pdf
254,https://www.ethos.io/Ethos_Whitepaper.pdf
255,https://smartlands.io/documents/White_paper_2208.pdf
256,http://blockv.io/documents/whitepaper.pdf
257,https://emercoin.com/files/uploads/docs/EMCSSL.pdf
